,r1,r2,v
309,0.91,1.21,0.21236
310,0.91,1.31,0.19054
311,0.91,1.41,0.17353
312,0.91,1.51,0.15998
313,0.91,1.61,0.14899
314,0.91,1.71,0.1399
315,0.91,1.81,0.1323
316,0.91,1.91,0.12586
317,0.91,2.01,0.12038
318,0.91,2.11,0.11567
319,0.91,2.21,0.11161
320,0.91,2.31,0.10809
321,0.91,2.41,0.10505
322,0.91,2.51,0.10239
323,0.91,2.61,0.10008
324,0.91,2.71,0.09806
325,0.91,2.81,0.0963
326,0.91,2.91,0.09476
327,0.91,3.01,0.09341
328,0.91,3.11,0.09224
329,0.91,3.21,0.09123
330,0.91,3.31,0.09035
331,0.91,3.41,0.08959
332,0.91,3.51,0.08895
333,0.91,3.61,0.08841
334,0.91,3.71,0.08795
335,0.91,3.81,0.08757
336,0.91,3.91,0.08726
337,0.91,4.01,0.087
338,0.91,4.11,0.08679
339,0.91,4.21,0.08663
340,0.91,4.31,0.08649
341,0.91,4.41,0.08639
342,0.91,4.51,0.0863
343,0.91,4.61,0.08623
344,0.91,4.71,0.08617
345,0.91,4.81,0.08612
346,0.91,4.91,0.08607
347,0.91,5.01,0.08604
348,0.91,5.11,0.086
349,0.91,5.21,0.08598
350,0.91,5.31,0.08595
351,0.91,5.41,0.08593
352,0.91,5.51,0.08591
353,0.91,5.61,0.0859
354,0.91,5.71,0.08589
355,0.91,5.81,0.08588
356,0.91,5.91,0.08588
357,0.91,6.01,0.08588
358,0.91,6.11,0.08588
359,0.91,6.21,0.08588
360,0.91,6.31,0.08588
361,0.91,6.41,0.08588
362,0.91,6.51,0.08589
363,0.91,6.61,0.08589
364,0.91,6.71,0.08589
365,0.91,6.81,0.0859
366,0.91,6.91,0.0859
367,0.91,7.01,0.0859
368,0.91,7.11,0.08591
369,0.91,7.21,0.08591
370,0.91,7.31,0.08591
371,0.91,7.41,0.08592
372,0.91,7.51,0.08592
373,0.91,7.61,0.08592
374,0.91,7.71,0.08593
375,0.91,7.81,0.08593
376,0.91,7.91,0.08593
377,0.91,8.01,0.08593
378,0.91,8.11,0.08593
379,0.91,8.21,0.08594
380,0.91,8.31,0.08594
381,0.91,8.41,0.08594
382,0.91,8.51,0.08594
383,0.91,8.61,0.08594
384,0.91,8.71,0.08594
385,0.91,8.81,0.08594
386,0.91,8.91,0.08594
387,0.91,9.01,0.08595
388,0.91,9.11,0.08595
389,0.91,9.21,0.08595
390,0.91,9.31,0.08595
391,0.91,9.41,0.08595
392,0.91,9.51,0.08595
393,0.91,9.61,0.08595
394,0.91,9.71,0.08595
395,0.91,9.81,0.08595
396,0.91,9.91,0.08595
397,0.91,10.01,0.08595
398,0.91,10.11,0.08595
399,0.91,10.21,0.08595
400,0.91,10.31,0.08595
401,0.91,10.41,0.08595
402,0.91,10.51,0.08595
404,1.01,0.61,0.61042
405,1.01,0.71,0.45523
406,1.01,0.81,0.35126
407,1.01,0.91,0.27912
408,1.01,1.01,0.22787
409,1.01,1.11,0.19073
410,1.01,1.21,0.16321
411,1.01,1.31,0.14245
412,1.01,1.41,0.12647
413,1.01,1.51,0.1139
414,1.01,1.61,0.1038
415,1.01,1.71,0.09554
416,1.01,1.81,0.08867
417,1.01,1.91,0.08289
418,1.01,2.01,0.07797
419,1.01,2.11,0.07376
420,1.01,2.21,0.07015
421,1.01,2.31,0.06703
422,1.01,2.41,0.06433
423,1.01,2.51,0.06199
424,1.01,2.61,0.05995
425,1.01,2.71,0.05817
426,1.01,2.81,0.05661
427,1.01,2.91,0.05524
428,1.01,3.01,0.05403
429,1.01,3.11,0.05298
430,1.01,3.21,0.05205
431,1.01,3.31,0.05123
432,1.01,3.41,0.05053
433,1.01,3.51,0.04992
434,1.01,3.61,0.04939
435,1.01,3.71,0.04894
436,1.01,3.81,0.04857
437,1.01,3.91,0.04825
438,1.01,4.01,0.04799
439,1.01,4.11,0.04778
440,1.01,4.21,0.0476
441,1.01,4.31,0.04746
442,1.01,4.41,0.04734
443,1.01,4.51,0.04724
444,1.01,4.61,0.04716
445,1.01,4.71,0.04709
446,1.01,4.81,0.04703
447,1.01,4.91,0.04698
448,1.01,5.01,0.04694
449,1.01,5.11,0.0469
450,1.01,5.21,0.04687
451,1.01,5.31,0.04685
452,1.01,5.41,0.04683
453,1.01,5.51,0.04681
454,1.01,5.61,0.0468
455,1.01,5.71,0.04679
456,1.01,5.81,0.04678
457,1.01,5.91,0.04677
458,1.01,6.01,0.04677
459,1.01,6.11,0.04677
460,1.01,6.21,0.04677
461,1.01,6.31,0.04678
462,1.01,6.41,0.04678
463,1.01,6.51,0.04678
464,1.01,6.61,0.04679
465,1.01,6.71,0.04679
466,1.01,6.81,0.0468
467,1.01,6.91,0.0468
468,1.01,7.01,0.0468
469,1.01,7.11,0.04681
470,1.01,7.21,0.04681
471,1.01,7.31,0.04681
472,1.01,7.41,0.04682
473,1.01,7.51,0.04682
474,1.01,7.61,0.04682
475,1.01,7.71,0.04682
476,1.01,7.81,0.04683
477,1.01,7.91,0.04683
478,1.01,8.01,0.04683
479,1.01,8.11,0.04683
480,1.01,8.21,0.04683
481,1.01,8.31,0.04684
482,1.01,8.41,0.04684
483,1.01,8.51,0.04684
484,1.01,8.61,0.04684
485,1.01,8.71,0.04684
486,1.01,8.81,0.04684
487,1.01,8.91,0.04684
488,1.01,9.01,0.04685
489,1.01,9.11,0.04685
490,1.01,9.21,0.04685
491,1.01,9.31,0.04685
492,1.01,9.41,0.04685
493,1.01,9.51,0.04685
494,1.01,9.61,0.04685
495,1.01,9.71,0.04685
496,1.01,9.81,0.04685
497,1.01,9.91,0.04685
498,1.01,10.01,0.04685
499,1.01,10.11,0.04685
500,1.01,10.21,0.04685
501,1.01,10.31,0.04685
502,1.01,10.41,0.04685
503,1.01,10.51,0.04685
505,1.11,0.61,0.56982
506,1.11,0.71,0.41529
507,1.11,0.81,0.31213
508,1.11,0.91,0.24094
509,1.11,1.01,0.19073
510,1.11,1.11,0.15469
511,1.11,1.21,0.12829
512,1.11,1.31,0.10865
513,1.11,1.41,0.09375
514,1.11,1.51,0.08221
515,1.11,1.61,0.07308
516,1.11,1.71,0.06571
517,1.11,1.81,0.05964
518,1.11,1.91,0.05457
519,1.11,2.01,0.05028
520,1.11,2.11,0.04663
521,1.11,2.21,0.04349
522,1.11,2.31,0.04079
523,1.11,2.41,0.03844
524,1.11,2.51,0.0364
525,1.11,2.61,0.03462
526,1.11,2.71,0.03306
527,1.11,2.81,0.03168
528,1.11,2.91,0.03046
529,1.11,3.01,0.02937
530,1.11,3.11,0.02841
531,1.11,3.21,0.02755
532,1.11,3.31,0.0268
533,1.11,3.41,0.02613
534,1.11,3.51,0.02555
535,1.11,3.61,0.02505
536,1.11,3.71,0.02462
537,1.11,3.81,0.02425
538,1.11,3.91,0.02395
539,1.11,4.01,0.02369
540,1.11,4.11,0.02348
541,1.11,4.21,0.02331
542,1.11,4.31,0.02316
543,1.11,4.41,0.02304
544,1.11,4.51,0.02294
545,1.11,4.61,0.02286
546,1.11,4.71,0.02279
547,1.11,4.81,0.02273
548,1.11,4.91,0.02268
549,1.11,5.01,0.02264
550,1.11,5.11,0.0226
551,1.11,5.21,0.02257
552,1.11,5.31,0.02254
553,1.11,5.41,0.02252
554,1.11,5.51,0.02251
555,1.11,5.61,0.02249
556,1.11,5.71,0.02249
557,1.11,5.81,0.02248
558,1.11,5.91,0.02248
559,1.11,6.01,0.02248
560,1.11,6.11,0.02248
561,1.11,6.21,0.02248
562,1.11,6.31,0.02248
563,1.11,6.41,0.02249
564,1.11,6.51,0.02249
565,1.11,6.61,0.02249
566,1.11,6.71,0.0225
567,1.11,6.81,0.0225
568,1.11,6.91,0.02251
569,1.11,7.01,0.02251
570,1.11,7.11,0.02251
571,1.11,7.21,0.02252
572,1.11,7.31,0.02252
573,1.11,7.41,0.02252
574,1.11,7.51,0.02253
575,1.11,7.61,0.02253
576,1.11,7.71,0.02253
577,1.11,7.81,0.02253
578,1.11,7.91,0.02254
579,1.11,8.01,0.02254
580,1.11,8.11,0.02254
581,1.11,8.21,0.02254
582,1.11,8.31,0.02254
583,1.11,8.41,0.02255
584,1.11,8.51,0.02255
585,1.11,8.61,0.02255
586,1.11,8.71,0.02255
587,1.11,8.81,0.02255
588,1.11,8.91,0.02255
589,1.11,9.01,0.02255
590,1.11,9.11,0.02255
591,1.11,9.21,0.02255
592,1.11,9.31,0.02256
593,1.11,9.41,0.02256
594,1.11,9.51,0.02256
595,1.11,9.61,0.02256
596,1.11,9.71,0.02256
597,1.11,9.81,0.02256
598,1.11,9.91,0.02256
599,1.11,10.01,0.02256
600,1.11,10.11,0.02256
601,1.11,10.21,0.02256
602,1.11,10.31,0.02256
603,1.11,10.41,0.02256
604,1.11,10.51,0.02256
606,1.21,0.61,0.53868
607,1.21,0.71,0.38486
608,1.21,0.81,0.28256
609,1.21,0.91,0.21236
610,1.21,1.01,0.16321
611,1.21,1.11,0.12829
612,1.21,1.21,0.10305
613,1.21,1.31,0.08457
614,1.21,1.41,0.07081
615,1.21,1.51,0.06037
616,1.21,1.61,0.05228
617,1.21,1.71,0.04586
618,1.21,1.81,0.04065
619,1.21,1.91,0.03635
620,1.21,2.01,0.03273
621,1.21,2.11,0.02966
622,1.21,2.21,0.02701
623,1.21,2.31,0.02471
624,1.21,2.41,0.02271
625,1.21,2.51,0.02095
626,1.21,2.61,0.01939
627,1.21,2.71,0.018
628,1.21,2.81,0.01677
629,1.21,2.91,0.01567
630,1.21,3.01,0.01468
631,1.21,3.11,0.0138
632,1.21,3.21,0.01301
633,1.21,3.31,0.01232
634,1.21,3.41,0.01171
635,1.21,3.51,0.01118
636,1.21,3.61,0.01072
637,1.21,3.71,0.01033
638,1.21,3.81,0.01001
639,1.21,3.91,0.00973
640,1.21,4.01,0.00951
641,1.21,4.11,0.00932
642,1.21,4.21,0.00917
643,1.21,4.31,0.00905
644,1.21,4.41,0.00894
645,1.21,4.51,0.00886
646,1.21,4.61,0.00878
647,1.21,4.71,0.00872
